potencia;consumo
111;21
111;21
154;19
102;24
115;18
110;19
110;19
110;19
140;17
160;16
101;23
101;23
121;21
121;21
121;20
182;16
182;16
182;15
48;47
70;38
70;38
68;37
68;31
102;24
68;31
68;31
68;31
102;24
88;24
145;19
58;49
76;31
60;38
76;30
76;30
76;30
76;30
86;27
86;27
86;27
86;27
101;24
100;25
78;24
70;38
70;38
90;24
176;15
176;15
262;13
68;30
68;31
68;31
68;31
68;31
101;17
101;17
101;17
135;16
84;26
84;26
84;26
84;26
64;36
84;26
120;19
72;31
123;22
123;22
123;22
123;22
155;16
155;16
184;14
184;14
175;19
68;37
68;31
68;31
102;24
116;23
88;25
145;19
145;19
145;19
88;25
88;25
116;23
116;23
69;31
55;45
69;31
69;31
69;31
69;31
69;31
69;31
69;31
69;31
97;27
97;27
152;17
152;17
152;19
160;19
200;17
160;19
97;19
95;28
97;19
95;25
95;19
95;28
95;19
95;25
97;19
95;28
142;18
68;37
102;24
68;31
68;31
68;31
88;24
145;19
143;19
207;17
207;17
207;17
288;17
90;23
90;23
110;21
110;21
110;21
110;21
160;19
160;19
69;31
73;26
73;26
82;32
82;28
94;26
82;24
111;24
82;28
94;25
82;23
111;23
62;35
62;31
62;31
62;31
62;27
62;27
70;30
70;30
56;34
56;38
70;38
70;28
70;28
70;29
70;29
112;26
112;26
116;24
116;24
116;24
116;24
116;24
116;24
92;29
73;30
92;27
92;27
92;27
161;20
161;19
156;20
156;19
52;37
85;27
52;37
85;27
85;27
68;37
100;26
90;24
90;24
110;19
68;33
88;25
114;23
114;23
114;24
114;24
162;17
162;17
114;23
160;19
134;18
106;26
114;19
