Valor;Area;Idade;Energia;Local
69;96;14;170;1
176;145;8;144;1
195;175;2;147;1
80;101;4;160;1
80;104;2;160;1
45;64;14;118;2
153;100;2;174;1
66;112;17;181;1
90;90;2;144;1
114;187;28;146;2
165;147;4;183;2
101;102;2;160;1
150;185;8;144;1
75;102;6;180;2
38;35;6;144;1
68;94;28;146;2
90;110;14;158;2
60;86;6;146;2
55;74;10;147;2
92;98;4;160;2
84;90;4;147;1
92;94;12;187;2
37;36;2;160;2
98;114;4;170;1
120;101;4;192;1
51;80;14;170;1
90;115;2;128;2
65;55;2;118;2
90;98;12;143;1
219;161;6;175;1
167;101;4;192;1
63;85;12;172;2
150;123;4;154;1
36;61;12;163;2
139;153;8;144;1
39;51;18;135;2
24;37;14;163;1
84;83;16;147;1
96;67;2;118;2
65;82;4;147;2
30;42;2;160;2
41;66;12;154;1
43;64;18;184;2
27;57;14;143;2
44;65;12;147;2
44;73;12;128;2
150;130;6;190;1
