pressao;peso
0;33
0;41
0;43
0;43
0;43
0;43
0;44
0;44
0;45
0;45
0;45
0;45
0;46
0;46
0;47
0;48
0;48
0;48
0;48
0;48
0;49
0;49
0;49
0;50
0;50
0;50
0;50
0;50
0;50
0;50
0;51
0;51
0;51
0;51
0;52
0;52
0;52
0;53
0;53
0;53
0;53
0;53
0;53
0;53
0;53
0;53
0;53
0;53
0;53
0;54
0;54
0;54
0;54
0;54
0;54
0;54
0;54
0;54
0;55
0;55
0;55
0;55
0;55
0;55
0;55
0;55
0;55
0;56
0;56
0;56
0;56
0;56
0;56
0;56
0;56
0;56
0;56
0;56
0;56
0;56
0;57
0;57
0;57
0;57
0;57
0;57
0;57
0;57
0;58
0;58
0;58
0;58
0;58
0;58
0;58
0;58
0;58
0;58
0;58
0;58
0;58
0;58
0;58
0;59
0;59
0;59
0;59
0;59
0;59
0;59
0;59
0;59
0;59
0;60
0;60
0;60
0;60
0;60
0;60
0;60
0;60
0;62
0;62
0;62
0;62
0;62
0;62
0;62
0;62
0;62
0;62
0;63
0;63
0;63
0;63
0;63
0;63
0;63
0;63
0;63
0;64
0;64
0;64
0;64
0;64
0;64
0;64
0;64
0;65
0;65
0;65
0;65
0;65
0;65
0;65
0;65
0;65
0;66
0;66
0;66
0;66
0;66
0;66
0;67
0;67
0;67
0;67
0;67
0;67
0;68
0;68
0;68
0;68
0;69
0;69
0;69
0;69
0;69
0;40
0;40
0;40
0;40
0;40
0;70
0;38
0;38
0;38
0;38
0;38
0;72
0;73
0;73
0;73
0;73
0;73
0;74
0;74
0;74
0;75
0;77
0;77
0;79
0;79
0;80
0;80
0;80
0;80
0;55
0;54
0;67
0;43
0;56
0;51
0;55
0;73
0;74
1;40
1;89
1;76
1;100
1;59
1;87
1;88
1;94
1;85
1;85
1;85
1;85
1;85
1;85
1;85
1;89
1;89
1;89
1;89
1;89
1;89
1;89
1;89
1;89
1;98
1;98
1;98
1;98
1;98
1;98
1;98
1;98
1;49
1;49
1;98
1;109
1;109
1;109
1;109
1;148
1;148
1;148
1;148
1;148
1;98
1;98
1;85
1;97
1;100
1;100
1;100
1;100
1;51
1;100
1;100
1;100
1;52
1;52
1;52
1;52
1;52
1;52
1;53
1;53
1;53
1;53
1;53
1;53
1;53
1;53
1;53
1;53
1;53
1;53
1;53
1;53
1;53
1;53
1;53
1;54
1;54
1;54
1;54
1;54
1;54
1;54
1;54
1;54
1;54
1;54
1;55
1;55
1;55
1;55
1;55
1;55
1;55
1;55
1;56
1;56
1;56
1;56
1;56
1;56
1;56
1;56
1;56
1;56
1;57
1;57
1;57
1;57
1;57
1;57
1;57
1;58
1;58
1;58
1;58
1;58
1;58
1;58
1;58
1;59
1;59
1;59
1;59
1;59
1;59
1;59
1;59
1;59
1;59
1;59
1;59
1;60
1;60
1;60
1;60
1;60
1;60
1;60
1;60
1;60
1;60
1;60
1;60
1;60
1;60
1;60
1;60
1;61
1;61
1;61
1;61
1;61
1;61
1;61
1;61
1;61
1;61
1;61
1;61
1;61
1;62
1;62
1;62
1;62
1;62
1;62
1;63
1;63
1;63
1;63
1;63
1;63
1;63
1;63
1;63
1;63
1;63
1;64
1;64
1;64
1;64
1;64
1;64
1;64
1;65
1;65
1;65
1;65
1;65
1;65
1;65
1;66
1;66
1;66
1;66
1;66
1;66
1;67
1;67
1;67
1;67
1;67
1;67
1;67
1;68
1;68
1;68
1;68
1;68
1;68
1;68
1;69
1;69
1;69
1;69
1;69
1;69
1;70
1;70
1;70
1;70
1;70
1;70
1;70
1;70
1;70
1;70
1;71
1;71
1;71
1;71
1;71
1;71
1;72
1;73
1;73
1;73
1;73
1;73
1;73
1;74
1;74
1;74
1;74
1;74
1;74
1;75
1;75
1;75
1;75
1;76
1;76
1;76
1;76
1;76
1;76
1;76
1;76
1;77
1;77
1;77
1;77
1;77
1;77
1;77
1;77
1;78
1;78
1;78
1;78
1;79
1;79
1;79
1;80
1;80
1;80
1;80
1;80
1;80
1;80
1;80
1;81
1;81
1;81
1;82
1;83
1;84
1;85
1;85
1;86
1;86
1;87
1;87
1;87
1;88
1;88
1;89
1;90
1;90
1;90
1;91
1;91
1;93
1;93
1;93
1;93
1;93
1;95
1;96
1;98
1;98
1;98
1;98
1;98
1;99
1;102
1;104
1;105
1;106
1;107
1;109
1;122
1;100
