T;ano;mes;y
1;1949;1;112
2;1949;2;118
3;1949;3;132
4;1949;4;129
5;1949;5;121
6;1949;6;135
7;1949;7;148
8;1949;8;148
9;1949;9;136
10;1949;10;119
11;1949;11;104
12;1949;12;118
13;1950;1;115
14;1950;2;126
15;1950;3;141
16;1950;4;135
17;1950;5;125
18;1950;6;149
19;1950;7;170
20;1950;8;170
21;1950;9;158
22;1950;10;133
23;1950;11;114
24;1950;12;140
25;1951;1;145
26;1951;2;150
27;1951;3;178
28;1951;4;163
29;1951;5;172
30;1951;6;178
31;1951;7;199
32;1951;8;199
33;1951;9;184
34;1951;10;162
35;1951;11;146
36;1951;12;166
37;1952;1;171
38;1952;2;180
39;1952;3;193
40;1952;4;181
41;1952;5;183
42;1952;6;218
43;1952;7;230
44;1952;8;242
45;1952;9;209
46;1952;10;191
47;1952;11;172
48;1952;12;194
49;1953;1;196
50;1953;2;196
51;1953;3;236
52;1953;4;235
53;1953;5;229
54;1953;6;243
55;1953;7;264
56;1953;8;272
57;1953;9;237
58;1953;10;211
59;1953;11;180
60;1953;12;201
61;1954;1;204
62;1954;2;188
63;1954;3;235
64;1954;4;227
65;1954;5;234
66;1954;6;264
67;1954;7;302
68;1954;8;293
69;1954;9;259
70;1954;10;229
71;1954;11;203
72;1954;12;229
73;1955;1;242
74;1955;2;233
75;1955;3;267
76;1955;4;269
77;1955;5;270
78;1955;6;315
79;1955;7;364
80;1955;8;347
81;1955;9;312
82;1955;10;274
83;1955;11;237
84;1955;12;278
85;1956;1;284
86;1956;2;277
87;1956;3;317
88;1956;4;313
89;1956;5;318
90;1956;6;374
91;1956;7;413
92;1956;8;405
93;1956;9;355
94;1956;10;306
95;1956;11;271
96;1956;12;306
